m_id,me_id,employment_status,eff_dt
27476,146888,Service Start,2016-06-13
45167,192425,Service Start,2015-12-28
2862,210622,Service Start,2014-02-10
33893,161637,Service Start,2016-04-20
72212,153348,Service Start,2012-10-15
44644,211657,Service Start,2012-01-23
40174,262470,Service Start,2014-08-25
89202,234327,Service Start,2015-11-23
121764,248382,Service Start,2017-06-12
27651,177321,Service Start,2015-07-13
18090,241696,Service Start,2007-11-13
56210,185437,Service Start,2007-08-20
30406,239492,Service Start,2011-05-30
16357,191142,Service Start,2015-02-23
31549,202250,Service Start,2015-08-10
35688,249507,Service Start,2017-01-02
20203,243310,Service Start,2015-05-18
1616,156634,Service Start,2012-05-07
63978,190076,Service Start,2015-02-02
1679,135930,Service Start,2005-05-02
53386,185487,Service Start,2015-12-21
51874,230330,Service Start,2015-08-10
78016,164589,Service Start,2012-04-23
98753,173615,Service Start,2013-09-14
11653,252841,Service Start,2007-09-03
13297,181563,Service Start,2015-12-14
83517,247966,Service Start,2013-09-09
8127,140263,Service Start,2010-02-22
52508,256981,Service Start,2012-07-02
40408,191312,Service Start,2016-05-16
29878,172145,Service Start,2017-07-01
36461,262898,Service Start,2017-07-01
7580,248266,Service Start,2017-07-01
31207,173576,Service Start,2017-07-01
100415,230640,Service Start,2017-07-01
62998,141663,Service Start,2017-07-01
85326,167962,Service Start,2017-07-01
110279,213893,Service Start,2017-06-19
24705,203513,Service Start,2017-06-26
116051,256488,Service Start,2017-06-26
65566,170263,Service Start,2017-06-19
31445,190345,Service Start,2017-06-19
75590,205522,Service Start,2017-06-26
37490,251472,Service Start,2017-06-26
72419,243456,Service Start,2017-06-25
66878,162919,Service Start,2017-06-20
72865,245365,Service Start,2017-02-04
27939,229916,Service Start,2017-06-26
14001,245989,Service Start,2017-05-15
36335,163627,Hired - Return to Work,2012-08-03
64309,257762,Hired - Return to Work,2014-02-14
35503,260442,Service Start,2017-06-30
102270,202127,Service Start,2006-07-31
90738,236471,Service Start,2017-02-27
116584,240746,Service Start,2007-02-05
11225,167377,Service Start,2000-04-16
117348,133026,Service Start,1997-01-06
88121,232271,Entered Old DROP,2016-10-28
68493,196534,Entered Old DROP,2014-05-24
49851,165256,Service Start,2006-06-05
102046,230982,Service Start,1991-05-13
56047,235032,Service Start,2007-07-01
50745,235528,Service Start,2015-12-07
4132,189314,Service Start,2004-08-30
85301,195560,Service Start,1996-06-09
105472,219046,Service Start,2016-11-07
107267,227481,Entered Old DROP,2016-02-28
61584,150903,Service Start,2008-05-14
84057,215098,Service Start,2005-06-27
35365,201006,Service Start,1997-04-28
7907,202355,Service Start,2000-07-10
5153,135418,Service Start,1994-09-12
29938,234254,Service Start,2007-07-09
13315,221532,Service Start,1998-12-07
97725,206073,Service Start,2016-03-07
25909,156598,Service Start,1997-05-19
15623,192881,Service Start,2007-06-18
105146,132169,Service Start,2000-11-13
56682,168928,Service Start,2005-07-01
77785,212751,Service Start,2007-07-01
3199,182776,Service Start,2008-12-22
553,214408,Entered Old DROP,2015-04-18
7846,178140,Service Start,1998-01-05
69857,210990,Entered Old DROP,2016-06-30
11541,183772,Service Start,1984-08-20
56256,254577,Service Start,1999-08-16
90549,201730,Service Start,1999-02-08
83608,194545,Entered Old DROP,2016-10-31
438,205003,Service Start,1998-04-27
92448,239443,Service Start,1998-08-24
33347,246496,Entered Old DROP,2016-07-10
25178,179315,Service Start,2003-08-04
88385,238597,Entered Old DROP,2015-01-24
107696,148395,Entered Old DROP,2015-05-31
10969,186693,Service Start,2015-07-27
33011,262547,Service Start,2007-07-01
108551,177184,Entered Old DROP,2015-12-31
60342,219609,Service Start,2007-08-06
47458,179006,Service Start,2002-08-05
77034,261781,Service Start,2007-08-06
94844,132893,Entered Old DROP,2016-07-31
23551,258269,Service Start,2007-02-12
84067,196683,Service Start,1995-06-19
